distance_km,prep_time_min,traffic_level,rain,delivery_min
4.807211366744669,9.223376576804114,1,0,33.04471205367267
11.433214523714035,11.964758475798966,3,1,66.36888611064867
8.917930330831158,9.42526210691867,1,1,48.7820802689478
7.384572568265921,7.217563343926391,3,1,45.05780101509993
2.29421436508802,8.015896777515021,1,0,24.0859710653779
2.2939369838663306,16.519469200818143,2,0,30.959653500653978
1.1679615399342937,10.158342960144813,3,1,33.223873756404046
10.461025676411754,14.106746526201887,3,0,58.48579132434317
7.4128226350469015,17.58543177137142,3,0,52.33739245524812
8.642834644654522,22.25987071573413,3,1,64.52877642100742
0.7367216844017281,5.982803496027474,2,0,21.068329436940115
11.653963299862935,24.985259972726066,3,0,68.90361706186422
10.07309036920485,20.697509737272693,2,1,62.10080242856931
2.9418997728001757,7.043975798721798,2,0,20.348863763824248
2.590987122881657,26.83946560266943,2,0,37.30145869134625
2.609151863314489,28.02181001329533,2,1,41.757362563219374
3.998785794034684,6.526948996371594,1,0,28.334005857805177
6.534698963770735,11.921941203680094,1,0,37.99533601009284
5.467367714384332,25.155031994826533,3,1,53.57884836562145
3.849135112277482,23.70649225959146,1,1,40.055866328048836
7.536308289307364,9.613025483909434,1,1,42.588777431662905
2.104179397498481,10.233733083417757,3,0,29.629125733908257
3.859663458155009,14.26180256978455,3,1,40.246957029286165
4.713161197877454,17.113074629775532,3,0,39.08476938494215
5.744804818495913,20.4563692882574,1,1,44.566329573205664
9.529523556019656,14.222840989244311,1,0,49.272903540324265
2.796248494821137,16.563367903328697,3,1,40.251386831604904
6.413696041756533,23.686773453343914,2,1,53.060041699124035
7.312767541913488,5.917080072264947,3,1,49.95707250345289
1.0341797462799738,11.310923608600518,2,1,26.902336992832517
7.486765796866541,22.83373964711381,2,0,50.1205903214281
2.4610274224038524,27.380170942179983,3,1,45.47814386997251
1.2480933193307144,17.791936052891653,3,1,40.63168057338972
11.412183678413331,18.30283713163289,3,0,66.34317232794396
11.604768380357433,7.679300283494401,1,1,52.43719963141923
9.796569503339303,16.185309170586365,2,0,53.87266277853838
